Papel,Segmento,Cotacao,FFOYield,DividendYield,P/VP,ValorMercado,Liquidez,QuantidadeDeImoveis,PrecoPorM2,AlugelPorM2,CapRate,VacanciaMedia
ABCP11,Shoppings,"73,50","4,62%","5,74%","0,83",896.982.000,113.862,1,"12.610,00","733,23","5,81%","11,90%"
AEFI11,Outros,"174,90","6,27%","0,00%","1,16",353.582.000,0,5,"4.353,43","293,84","6,75%","0,00%"
AFCR11,Híbrido,"106,11","12,34%","11,83%","1,04",125.981.000,228.201,0,"0,00","0,00","0,00%","0,00%"
AFHI11,Títulos e Val. Mob.,"93,30","1,78%","3,08%","0,96",166.790.000,952.396,0,"0,00","0,00","0,00%","0,00%"
AFOF11,Títulos e Val. Mob.,"97,50","2,42%","4,12%","0,97",67.391.200,181.282,0,"0,00","0,00","0,00%","0,00%"
AGCX11,Outros,"1.235,50","0,52%","0,00%","10,87",14.317.200.000,0,87,"97.915,20","872,56","0,89%","0,00%"
AIEC11,Lajes Corporativas,"81,40","6,11%","8,48%","0,81",392.754.000,750.338,2,"16.937,20","851,10","5,03%","0,00%"
ALMI11,Lajes Corporativas,"1.015,00","0,10%","0,00%","0,49",112.845.000,57.851,1,"0,00","396,55","0,00%","98,53%"
ALZR11,Híbrido,"116,57","4,23%","5,45%","1,08",621.243.000,1.166.640,13,"6.387,32","276,36","4,33%","0,00%"
ANCR11B,Shoppings,"3.400,00","4,24%","1,09%","1,01",1.533.780.000,0,3,"14.725,70","1.138,67","7,73%","0,00%"
ARCT11,Híbrido,"101,10","2,98%","13,11%","0,98",161.514.000,424.452,6,"377,62","20,85","5,52%","0,00%"
ARRI11,Títulos e Val. Mob.,"101,93","4,00%","11,60%","1,05",106.855.000,207.426,0,"0,00","0,00","0,00%","0,00%"
ATSA11,Shoppings,"101,99","-1,18%","0,00%","1,04",178.599.000,4.096,1,"5.411,14","-31,01","-0,57%","21,33%"
BARI11,Títulos e Val. Mob.,"106,50","8,12%","14,13%","1,04",493.541.000,1.695.430,0,"0,00","0,00","0,00%","0,00%"
BBFI11B,Lajes Corporativas,"2.444,99","12,32%","12,56%","0,97",317.849.000,404.510,2,"3.468,95","484,17","13,96%","0,00%"
BBFO11,Títulos e Val. Mob.,"78,45","3,76%","5,22%","0,86",314.106.000,94.943,0,"0,00","0,00","0,00%","0,00%"
BBPO11,Lajes Corporativas,"115,25","7,67%","11,02%","1,20",1.834.740.000,1.870.280,63,"4.600,82","440,79","9,58%","0,00%"
BBRC11,Outros,"110,58","10,88%","9,82%","0,98",175.822.000,184.335,20,"10.946,80","1.350,67","12,34%","0,00%"
BBVJ11,Lajes Corporativas,"62,99","-1,71%","0,00%","0,94",170.703.000,0,1,"6.829,83","198,23","2,90%","58,98%"
